"","player_api_id","player_name","player_fifa_id","overall_rating","gk_rating","num_app","num_leagues"
"3432",38704,"Tommy Smith",157983,NA,NA,16,1
"3433",38711,"Keith Andrews",51366,74,144,59,1
"3434",38717,"Mirko Vucinic",106850,NA,NA,132,1
"3435",38719,"Rodrigo Defendi",158685,NA,NA,30,1
"3436",38722,"Johann Vogel",2116,NA,NA,3,1
"3437",38725,"Sebastian Schindzielorz",1479,NA,NA,4,1
"3438",38727,"Giorgi Popkhadze",179667,65,59,22,1
"3439",38728,"Richard Socrier",158268,NA,NA,11,1
"3440",38729,"Leandro Cufre",103938,NA,NA,18,2
"3441",38731,"Nathan Doyle",163363,NA,NA,2,1
"3442",38732,"Hermanni Vuorinen",150409,NA,NA,8,1
"3443",38746,"Sebastian Eguren",169650,NA,NA,76,1
"3444",38751,"Ricardo Oliveira",157271,NA,NA,15,1
"3445",38755,"Ricardo Fuller",116197,NA,NA,59,1
"3446",38759,"Daniel Graham",163340,NA,NA,76,1
"3447",38761,"Derek Young",28739,66,120,53,1
"3448",38762,"Cristiano Doni",2622,NA,NA,52,1
"3449",38763,"Calum Elliot",164765,NA,NA,26,1
"3450",38773,"Danijel Ljuboja",9801,NA,NA,106,2
"3451",38777,"Jordan Remacle",163370,70,46,86,1
"3452",38778,"Oleksandr Iakovenko",169221,71,135,69,3
"3453",38780,"Goran Ljubojevic",177493,71,46,1,1
"3454",38782,"Jelle Vossen",176137,NA,NA,103,1
"3455",38784,"Wim De Decker",108784,66,128,93,1
"3456",38785,"Eric Matoukou",123060,67,111,50,1
"3457",38786,"Faris Haroun",162221,72,143,70,1
"3458",38788,"Gonzague Vandooren",18511,64,131,35,1
"3459",38789,"Hans Cornelis",47014,71,154,117,1
"3460",38791,"Kenneth van Goethem",162222,64,47,36,1
"3461",38792,"Kevin Vandenbergh",45455,73,135,45,2
"3462",38793,"Logan Bailly",122649,76,380,102,3
"3463",38794,"Marvin Ogunjimi",170814,73,122,57,2
"3464",38795,"Sebastien Pocognoli",163369,75,148,118,4
"3465",38797,"Sinan Bolat",162220,76,384,78,1
"3466",38798,"Thomas Chatelle",18785,72,144,38,2
"3467",38799,"Tom Soetaers",51580,71,140,4,1
"3468",38800,"Tomislav Mikulic",169043,68,132,89,2
"3469",38801,"Wouter Vrancken",19805,68,132,12,1
"3470",38802,"Steed Malbranque",18919,NA,NA,152,2
"3471",38804,"dos Santos Fabio Junior",166048,70,120,28,1
"3472",38805,"Stephan Andersen",125586,NA,NA,56,3
"3473",38807,"James Milner",138412,82,150,187,1
"3474",38810,"Angelos Charisteas",53061,NA,NA,12,2
"3475",38812,"Liam Miller",104296,NA,NA,63,2
"3476",38815,"Jan Kromkamp",8132,NA,NA,4,1
"3477",38816,"Kevin Kilbane",1731,NA,NA,33,1
"3478",38817,"Carlos Tevez",143001,NA,NA,174,2
"3479",38818,"Javier Mascherano",142754,NA,NA,212,2
"3480",38820,"Niko Kranjcar",157597,NA,NA,61,1
"3481",38821,"Jose Antonio Reyes",111093,NA,NA,152,2
"3482",38822,"Julio Baptista",136187,NA,NA,52,2
"3483",38824,"Pascal Cygan",1517,NA,NA,3,1
"3484",38827,"Amauri",149568,NA,NA,127,1
"3485",38828,"Ervin Skela,30",101288,NA,NA,33,2
"3486",38831,"Wayne Routledge",54051,NA,NA,138,1
"3487",38834,"Ashley Cole",34079,NA,NA,184,2
"3488",38835,"William Gallas",6647,NA,NA,106,1
"3489",38836,"Pascal Chimbonda",45577,NA,NA,39,1
"3490",38837,"DaMarcus Beasley",39386,NA,NA,12,1
"3491",38842,"Arthur Boka",49116,NA,NA,129,2
"3492",38843,"Ze Roberto",28765,NA,NA,81,1
"3493",38848,"Milivoje Novakovic",176102,NA,NA,98,1
"3494",38856,"Chris Eagles",162892,NA,NA,46,1
"3495",38857,"Jason Euell",2506,NA,NA,1,1
"3496",38863,"Junichi Inamoto,20",48722,NA,NA,20,2
"3497",38865,"Colin Kazim-Richards",166114,NA,NA,43,3
"3498",38866,"Paul Lawson",169452,64,58,28,1
"3499",38880,"Ross Wallace",140497,NA,NA,1,1
"3500",38886,"Miguel Angel de las Cuevas",173325,77,145,133,1
"3501",38887,"Carlos Acuna",165031,72,127,3,1
"3502",38888,"Cesar Peixoto",20199,NA,NA,82,1
"3503",38889,"Juanma",110301,NA,NA,22,1
"3504",38890,"Pablo Amo",113398,NA,NA,9,1
"3505",38899,"Robert Huth",137785,NA,NA,215,1
"3506",38900,"Shefki Kuqi",20171,NA,NA,1,1
"3507",38906,"Nicolas Timmermans",103735,64,47,50,1
"3508",38907,"Nicki Bille Nielsen",172743,NA,NA,16,3
"3509",38913,"Orlando Engelaar",9771,NA,NA,81,2
"3510",38915,"Dragan Mrdja",173491,72,58,25,1
"3511",38920,"Cyril Thereau",164985,78,136,199,2
"3512",38922,"Lionel Scaloni",8842,NA,NA,49,2
"3513",38932,"Mariano Gonzalez",142705,NA,NA,24,1
"3514",38938,"Paul Constantin Codrea",149153,NA,NA,52,1
"3515",38943,"Marco Di Loreto",45122,78,150,17,1
"3516",38945,"Mario Carevic",157432,68,147,48,1
"3517",38947,"Mustapha Jarju Alasan",178374,68,56,42,1
"3518",38951,"Issiar Dia",168253,73,138,52,1
"3519",38952,"Damian Macaluso Rojas",163917,67,115,37,1
"3520",38953,"Nathan Goris",184158,61,305,1,1
"3521",38956,"Seth De Witte",178135,73,53,98,1
"3522",38962,"Sven van der Jeugt",100088,59,295,19,1
"3523",38966,"Lee Miller",118359,NA,NA,61,1
"3524",38969,"Yoni Buyens",178136,71,126,120,1
"3525",38971,"Marko Muslin",167634,61,42,17,1
"3526",38979,"Danny Buijs",138629,NA,NA,58,2
"3527",38994,"Rafael",210342,80,62,114,2
"3528",38999,"Euzebiusz Smolarek",45701,76,134,32,3
"3529",39000,"Martin Amedick",52998,76,134,36,1
"3530",39022,"Oliver Fink",167452,70,138,21,1
"3531",39027,"Vincent Kompany",139720,86,152,213,1
"3532",39032,"Sotirios Kyrgiakos",100932,80,140,33,2
"3533",39045,"Szabolcs Huszti",137080,78,156,80,1
"3534",39054,"Ismael Bouzid",140544,70,120,61,1
"3535",39066,"Roberto Damian Colautti",139235,73,131,25,1
"3536",39069,"Lukasz Gargula",153148,74,162,84,1
"3537",39070,"Arkadiusz Glowacki",19687,72,136,133,1
"3538",39073,"Geovanni",46027,78,158,48,1
"3539",39079,"Gary Miller",171320,63,57,59,1
"3540",39081,"Philip Haglund",181307,69,133,13,1
"3541",39091,"Goran Popov",156689,69,92,45,2
"3542",39102,"Ivan Trickovski",206393,69,42,11,2
"3543",39105,"Paulo Machado",164849,75,145,103,1
"3544",39106,"Piotr Trochowski",121945,82,158,108,2
"3545",39107,"Dean Shiels",159074,NA,NA,49,1
"3546",39109,"Charlie Adam",155976,80,153,137,2
"3547",39122,"Jonas",176769,83,116,142,2
"3548",39136,"Dusan Djuric",134765,NA,NA,101,2
"3549",39139,"Ola Toivonen",176794,78,152,163,3
"3550",39141,"Marcus Berg",176733,NA,NA,55,2
"3551",39142,"Henok Goitom",168317,NA,NA,43,1
"3552",39145,"Alesandro Cordaro",139572,69,146,135,1
"3553",39148,"Baptiste Ulens",171152,64,64,12,1
"3554",39151,"Roberto Mirri",51727,63,124,4,1
"3555",39153,"Cedric Berthelin",139561,65,316,41,1
"3556",39156,"Frederic Jay",11465,64,137,11,1
"3557",39157,"Gauthier Diafutua",177506,54,124,6,1
"3558",39158,"Hocine Ragued",111184,65,132,10,1
"3559",39163,"Dimitrios Eleftheropoulos",6139,71,352,1,1
"3560",39170,"Andrea Consigli",163489,80,398,222,1
"3561",39180,"Jose Espinal",179935,57,119,1,1
"3562",39185,"Medina Fabiano",185179,69,139,58,1
"3563",39190,"Adriano Ferreira Pinto",163653,75,145,48,1
"3564",39191,"Moris Carrozzieri",105338,75,53,32,1
"3565",39194,"Massimo Donati",1210,82,153,107,2
"3566",39197,"Alessio Manzoni",173129,62,126,1,1
"3567",39198,"Fernando Damian Tissone",177981,77,145,117,2
"3568",39199,"Adriano Pereira da Silva",135530,69,126,62,1
"3569",39200,"Luca Ariatti",155222,73,134,37,1
"3570",39201,"Gianpaolo Bellini",11808,76,158,117,1
"3571",39203,"Davide Bombardini",149233,73,151,24,1
"3572",39204,"Alex Calderoni",52951,73,377,8,1
"3573",39206,"Simone Loria",137483,78,147,15,1
"3574",39207,"Giulio Migliaccio",137440,77,147,153,1
"3575",39208,"Claudio Rivalta",113212,71,137,10,1
"3576",39210,"Jose Leonardo Talamonti",143029,NA,NA,43,1
"3577",39211,"Nicola Ventola",965,78,53,3,1
"3578",39213,"Lasse Schoene",172143,77,142,174,1
"3579",39215,"Michael Krohn-Dehli",159240,79,129,104,1
"3580",39218,"Claudio Pani",164368,66,147,1,1
"3581",39222,"Davide Biondini",162174,NA,NA,200,1
"3582",39223,"Andy Webster",30697,NA,NA,100,1
"3583",39225,"Rickie Lambert",13879,NA,NA,78,1
"3584",39229,"Cristiano Del Grosso",173305,72,149,148,1
"3585",39232,"Simone Pepe",103936,80,145,106,1
"3586",39233,"Gabriel Penalba",172100,74,46,2,1
"3587",39264,"Giuseppe Colucci",8830,73,155,58,1
"3588",39266,"Mark Edusei",157843,70,129,41,1
"3589",39267,"Mariano Julio Izco",165490,NA,NA,158,1
"3590",39271,"Takayuki Morimoto",178315,76,129,47,1
"3591",39272,"Fausto Rossini",7767,69,108,4,1
"3592",39273,"Gennaro Sardo",156986,72,137,121,1
"3593",39274,"Lorenzo Stovini",3216,76,146,29,1
"3594",39284,"Giovanni Marchese",139669,NA,NA,110,1
"3595",39286,"Michele Marcolini",113219,74,153,76,1
"3596",39294,"Davide Bassi",178312,70,345,8,1
"3597",39297,"Denilson",176414,NA,NA,61,1
"3598",39298,"Francesco Marianini",154545,67,153,10,1
"3599",39299,"Lino Marzoratti",172695,70,145,18,1
"3600",39301,"Gianluca Musacci",178451,70,119,11,1
"3601",39302,"Alberto Pelagotti",178452,67,336,6,1
"3602",39303,"Rincon",181734,75,114,22,1
"3603",39304,"Dario Dainelli",7647,77,147,191,1
"3604",39306,"Luis Jimenez",137242,NA,NA,48,2
"3605",39311,"Adrian Mutu",184410,85,100,105,2
"3606",39312,"Matthias Lepiller",165435,69,47,18,1
"3607",39313,"Cristiano Lupatelli",12011,70,343,4,1
"3608",39314,"Alessandro Potenza",149269,75,149,55,1
"3609",39323,"Matteo Sereni",50579,83,417,46,1
"3610",39324,"Roberto Baronio",4495,78,156,22,1
"3611",39330,"Kari Arnason",166851,68,138,31,1
