"","psraid","age","race","sex","inc","cable1","q5f","q5d","date2a","game1","game3a","job5d","snsjob2a","ideo"
"382",102007,74,1,2,7,1,NA,NA,NA,1,1,NA,NA,4
"383",102009,81,1,2,4,1,NA,NA,NA,1,1,NA,2,3
"384",102018,62,1,2,99,1,NA,NA,1,1,2,NA,NA,5
"385",102031,78,1,2,99,1,2,2,2,2,8,NA,2,3
"386",102039,74,2,2,1,1,NA,NA,NA,2,1,NA,NA,3
"387",102041,97,2,2,6,1,NA,NA,NA,2,2,NA,NA,1
"388",102045,71,2,1,6,1,NA,NA,2,2,1,NA,2,3
"389",102052,70,1,2,7,1,1,1,2,2,1,NA,NA,3
"390",102055,48,1,1,8,1,2,2,2,1,2,1,NA,3
"391",102056,67,1,2,98,1,NA,NA,NA,2,8,NA,NA,2
"392",102061,20,1,1,5,1,NA,NA,1,1,1,1,2,3
"393",102064,62,1,2,8,1,2,2,2,2,1,1,2,4
"394",102066,72,1,2,9,1,2,2,NA,2,8,NA,2,3
"395",102067,64,9,2,99,1,1,2,NA,2,8,NA,NA,3
"396",102072,32,1,2,98,2,NA,NA,1,1,2,NA,NA,2
"397",102073,59,1,2,8,1,2,2,NA,2,1,2,NA,3
"398",102075,50,1,2,99,1,NA,NA,2,1,1,NA,NA,1
"399",102078,89,1,1,6,1,2,2,NA,2,1,NA,NA,3
"400",102079,30,2,2,5,1,NA,NA,1,2,8,1,NA,3
"401",102080,45,1,1,6,1,NA,NA,2,1,1,1,2,3
"402",102091,57,1,1,3,1,2,2,NA,2,2,NA,NA,2
"403",102095,30,1,2,98,1,NA,NA,NA,1,2,NA,2,2
"404",102096,63,1,2,6,1,2,2,2,2,1,2,2,2
"405",102097,62,1,1,9,1,1,2,2,2,1,2,2,5
"406",102098,62,2,2,8,1,2,2,2,1,1,1,NA,3
"407",102114,67,1,2,4,1,2,2,2,1,1,NA,2,4
"408",102132,39,6,1,6,1,2,1,2,2,1,2,2,2
"409",102142,70,2,1,99,1,NA,NA,NA,2,8,NA,NA,5
"410",102149,54,1,1,3,1,2,2,2,2,1,NA,NA,3
"411",102150,62,4,2,2,1,2,2,NA,2,8,NA,NA,3
"412",102153,74,1,1,5,1,2,2,NA,2,8,NA,2,2
"413",102155,30,1,1,7,1,NA,NA,2,1,2,1,2,2
"414",102159,26,1,1,6,1,1,2,2,1,1,1,2,4
"415",102161,35,1,2,7,1,1,2,2,1,2,NA,2,3
"416",102177,90,1,2,2,1,NA,NA,NA,2,2,NA,NA,9
"417",102184,61,1,2,6,1,2,2,2,2,1,2,2,4
"418",102205,60,1,1,3,1,NA,NA,2,2,2,NA,2,5
"419",102207,99,1,2,99,1,NA,NA,NA,1,9,NA,NA,8
"420",102218,57,1,2,98,1,2,2,NA,2,2,2,NA,2
"421",102224,60,1,1,7,1,1,1,2,1,1,2,2,5
"422",102229,37,1,1,6,2,1,2,2,1,8,1,2,3
"423",102239,73,1,2,5,1,2,2,2,1,1,NA,2,2
"424",102242,35,6,1,6,1,1,1,2,1,1,1,2,5
"425",102261,45,1,1,5,1,2,1,2,1,2,1,NA,3
"426",102269,43,2,2,7,1,NA,NA,2,1,1,2,2,3
"427",102275,55,1,2,9,1,NA,NA,2,2,1,2,2,3
"428",102281,38,1,1,3,1,1,1,1,1,2,2,2,4
"429",102293,56,1,2,4,1,NA,NA,NA,2,2,NA,2,3
"430",102301,83,1,2,99,1,2,2,NA,1,8,NA,NA,5
"431",102302,58,1,1,9,1,NA,NA,2,2,1,1,NA,2
"432",102306,44,1,2,6,2,NA,NA,2,2,2,2,NA,5
"433",102313,78,1,1,99,1,NA,NA,NA,2,2,NA,NA,1
"434",102320,70,1,2,2,2,NA,NA,NA,2,2,NA,NA,3
"435",102321,63,1,2,1,1,NA,NA,NA,2,1,NA,NA,3
"436",102322,33,1,1,4,2,NA,NA,NA,2,2,1,NA,4
"437",102328,22,1,2,1,1,NA,NA,2,2,1,1,2,3
"438",102331,83,1,2,3,1,2,2,NA,2,2,NA,NA,3
"439",102337,57,1,2,8,1,NA,NA,2,2,2,2,2,3
"440",102345,79,1,2,98,1,NA,NA,NA,2,2,NA,NA,9
"441",102365,62,1,1,4,1,NA,NA,2,2,8,NA,2,3
"442",102372,60,1,1,3,1,NA,NA,NA,2,2,NA,2,8
"443",102377,49,2,2,9,1,NA,NA,NA,2,2,NA,NA,5
"444",102385,22,1,2,1,1,2,2,NA,1,1,NA,1,8
"445",102389,82,1,2,99,1,2,2,NA,1,2,NA,NA,2
"446",102399,68,1,1,99,1,1,1,2,2,1,NA,NA,2
"447",102404,51,1,2,7,1,1,1,2,2,1,1,2,4
"448",102405,66,3,2,9,1,NA,NA,2,2,2,1,2,2
"449",102410,20,1,1,6,1,NA,NA,NA,1,1,NA,NA,5
"450",102413,61,1,1,8,1,NA,NA,2,1,2,NA,2,2
"451",102423,60,1,1,99,1,NA,NA,NA,2,2,NA,NA,4
"452",102434,72,2,2,3,1,NA,NA,NA,2,8,NA,2,3
"453",102446,53,1,2,5,1,NA,NA,2,1,1,1,2,3
"454",102449,36,1,1,6,1,1,1,2,1,1,1,1,2
"455",102459,55,1,1,4,1,NA,NA,NA,2,8,1,NA,2
"456",102463,67,1,2,6,1,NA,NA,2,1,1,NA,NA,2
"457",102466,61,1,2,7,1,2,2,NA,1,2,NA,2,2
"458",102467,50,1,1,99,1,NA,NA,2,2,1,1,2,2
"459",102471,32,1,1,3,1,NA,NA,NA,1,2,NA,2,2
"460",102473,86,1,1,5,1,2,2,NA,2,1,NA,NA,3
"461",102477,55,1,2,6,2,2,2,NA,2,1,2,2,3
"462",102480,69,1,2,3,1,NA,NA,2,1,2,NA,2,2
"463",102481,51,2,1,8,1,NA,NA,2,1,1,1,NA,4
"464",102488,61,1,2,6,2,NA,NA,NA,2,1,2,2,5
"465",102494,54,1,2,4,1,1,1,2,1,1,2,1,3
"466",102501,44,1,2,4,1,NA,NA,2,2,1,1,2,3
"467",102512,64,1,1,5,1,NA,NA,NA,2,1,NA,NA,8
"468",102515,54,4,2,2,1,NA,NA,NA,2,2,1,2,2
"469",102524,90,1,2,98,1,NA,NA,NA,1,2,NA,NA,2
"470",102527,58,1,2,6,1,NA,NA,2,1,1,1,NA,2
"471",102535,59,1,2,7,1,NA,NA,2,1,2,NA,2,3
"472",102536,63,1,2,5,2,1,2,2,1,1,2,2,5
"473",102538,45,1,1,4,1,NA,NA,NA,2,8,NA,NA,3
"474",102544,48,1,2,3,1,NA,NA,NA,2,8,1,NA,8
"475",102561,66,5,2,4,2,NA,NA,NA,2,1,NA,2,4
"476",102576,65,2,2,5,1,2,1,2,1,2,NA,2,2
"477",102597,46,2,1,4,1,1,1,2,1,2,1,2,4
"478",102599,48,1,2,7,1,NA,NA,NA,1,2,1,2,3
"479",102618,76,1,2,6,1,2,1,NA,2,2,NA,2,4
"480",102624,79,1,2,5,1,2,1,2,2,8,NA,NA,3
"481",102629,61,3,2,1,1,NA,NA,2,2,1,1,2,8
"482",102637,67,1,2,6,2,NA,NA,2,2,1,2,2,5
"483",102644,70,1,2,99,1,NA,NA,2,2,1,NA,2,1
"484",102666,43,1,1,6,2,2,2,2,2,1,1,NA,4
"485",102685,64,9,2,9,1,1,2,2,1,1,NA,2,5
"486",102686,65,1,1,5,1,NA,NA,2,2,1,2,NA,2
"487",102699,80,1,2,6,1,NA,NA,NA,2,1,NA,NA,3
"488",102702,65,1,1,6,1,NA,NA,NA,1,8,NA,NA,2
"489",102711,72,1,2,99,1,2,2,2,2,2,NA,NA,9
"490",102717,70,1,2,4,1,NA,NA,NA,1,1,NA,2,3
"491",102719,50,1,1,8,1,1,2,2,2,2,NA,NA,3
"492",102721,50,1,2,6,1,NA,NA,NA,2,1,1,NA,1
"493",102726,71,1,2,4,1,NA,NA,NA,9,1,NA,2,2
"494",102732,37,1,1,99,1,2,2,2,2,1,NA,2,1
"495",102738,82,1,2,2,1,NA,NA,NA,2,1,NA,2,5
"496",102742,66,2,1,9,1,2,2,NA,1,1,NA,NA,2
"497",102749,70,1,2,3,1,NA,NA,NA,1,1,NA,NA,8
"498",102752,84,1,2,4,1,2,2,NA,2,1,NA,NA,2
